Country,Population,GDP_per_Capita,Year,Medal
Australia,23781169,56310.9629933721,1960,Gold
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Bronze
Australia,23781169,56310.9629933721,1960,Gold
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Bronze
Australia,23781169,56310.9629933721,1960,Bronze
Australia,23781169,56310.9629933721,1960,Bronze
Australia,23781169,56310.9629933721,1960,Bronze
Australia,23781169,56310.9629933721,1960,Bronze
Australia,23781169,56310.9629933721,1960,Gold
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Bronze
Australia,23781169,56310.9629933721,1960,Bronze
Australia,23781169,56310.9629933721,1960,Gold
Australia,23781169,56310.9629933721,1960,Silver
Australia,23781169,56310.9629933721,1960,Gold
Australia,23781169,56310.9629933721,1960,Gold
Australia,23781169,56310.9629933721,1960,Gold
Australia,23781169,56310.9629933721,1964,Gold
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Gold
Australia,23781169,56310.9629933721,1964,Gold
Australia,23781169,56310.9629933721,1964,Gold
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Silver
Australia,23781169,56310.9629933721,1964,Silver
Australia,23781169,56310.9629933721,1964,Silver
Australia,23781169,56310.9629933721,1964,Silver
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Gold
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Silver
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Bronze
Australia,23781169,56310.9629933721,1964,Gold
Australia,23781169,56310.9629933721,1964,Gold
Australia,23781169,56310.9629933721,1964,Gold
Australia,23781169,56310.9629933721,1968,Gold
Australia,23781169,56310.9629933721,1968,Gold
Australia,23781169,56310.9629933721,1968,Bronze
Australia,23781169,56310.9629933721,1968,Gold
Australia,23781169,56310.9629933721,1968,Bronze
Australia,23781169,56310.9629933721,1968,Bronze
Australia,23781169,56310.9629933721,1968,Bronze
Australia,23781169,56310.9629933721,1968,Bronze
Australia,23781169,56310.9629933721,1968,Bronze
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Bronze
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Gold
Australia,23781169,56310.9629933721,1968,Gold
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Bronze
Australia,23781169,56310.9629933721,1968,Bronze
Australia,23781169,56310.9629933721,1968,Bronze
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1968,Silver
Australia,23781169,56310.9629933721,1972,Bronze
Australia,23781169,56310.9629933721,1972,Bronze
Australia,23781169,56310.9629933721,1972,Silver
Australia,23781169,56310.9629933721,1972,Gold
Australia,23781169,56310.9629933721,1972,Gold
Australia,23781169,56310.9629933721,1972,Gold
Australia,23781169,56310.9629933721,1972,Gold
Australia,23781169,56310.9629933721,1972,Gold
Australia,23781169,56310.9629933721,1972,Gold
Australia,23781169,56310.9629933721,1972,Silver
Australia,23781169,56310.9629933721,1972,Silver
Australia,23781169,56310.9629933721,1972,Silver
Australia,23781169,56310.9629933721,1972,Silver
Australia,23781169,56310.9629933721,1972,Silver
Australia,23781169,56310.9629933721,1972,Silver
Australia,23781169,56310.9629933721,1972,Gold
Australia,23781169,56310.9629933721,1972,Gold
Australia,23781169,56310.9629933721,1972,Gold
Australia,23781169,56310.9629933721,1972,Gold
Australia,23781169,56310.9629933721,1972,Gold
Australia,23781169,56310.9629933721,1976,Bronze
Australia,23781169,56310.9629933721,1976,Bronze
Australia,23781169,56310.9629933721,1976,Bronze
Australia,23781169,56310.9629933721,1976,Bronze
Australia,23781169,56310.9629933721,1976,Bronze
Australia,23781169,56310.9629933721,1976,Silver
Australia,23781169,56310.9629933721,1976,Silver
Australia,23781169,56310.9629933721,1976,Silver
Australia,23781169,56310.9629933721,1976,Silver
Australia,23781169,56310.9629933721,1976,Silver
Australia,23781169,56310.9629933721,1976,Silver
Australia,23781169,56310.9629933721,1976,Silver
Australia,23781169,56310.9629933721,1976,Silver
Australia,23781169,56310.9629933721,1976,Silver
Australia,23781169,56310.9629933721,1976,Silver
Australia,23781169,56310.9629933721,1976,Silver
Australia,23781169,56310.9629933721,1976,Silver
Australia,23781169,56310.9629933721,1976,Silver
