Country,Population,GDP per Capita,Year,Medal
Canada,35851774,43248.529909341,1952,Gold
Canada,35851774,43248.529909341,1952,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1956,Silver
Canada,35851774,43248.529909341,1956,Silver
Canada,35851774,43248.529909341,1956,Bronze
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Silver
Canada,35851774,43248.529909341,1960,Bronze
Canada,35851774,43248.529909341,1960,Gold
Canada,35851774,43248.529909341,1960,Gold
Canada,35851774,43248.529909341,1960,Gold
Canada,35851774,43248.529909341,1964,Gold
Canada,35851774,43248.529909341,1964,Gold
Canada,35851774,43248.529909341,1964,Gold
Canada,35851774,43248.529909341,1964,Gold
Canada,35851774,43248.529909341,1964,Bronze
Canada,35851774,43248.529909341,1964,Silver
Canada,35851774,43248.529909341,1964,Silver
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Bronze
Canada,35851774,43248.529909341,1968,Gold
Canada,35851774,43248.529909341,1968,Silver
Canada,35851774,43248.529909341,1972,Silver
Canada,35851774,43248.529909341,1976,Bronze
Canada,35851774,43248.529909341,1976,Silver
Canada,35851774,43248.529909341,1976,Gold
Canada,35851774,43248.529909341,1980,Silver
Canada,35851774,43248.529909341,1980,Bronze
Canada,35851774,43248.529909341,1984,Silver
Canada,35851774,43248.529909341,1984,Gold
Canada,35851774,43248.529909341,1984,Gold
Canada,35851774,43248.529909341,1984,Bronze
Canada,35851774,43248.529909341,1988,Bronze
Canada,35851774,43248.529909341,1988,Bronze
Canada,35851774,43248.529909341,1988,Silver
Canada,35851774,43248.529909341,1988,Silver
Canada,35851774,43248.529909341,1988,Bronze
Canada,35851774,43248.529909341,1988,Bronze
Canada,35851774,43248.529909341,1992,Bronze
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Bronze
Canada,35851774,43248.529909341,1992,Bronze
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Gold
Canada,35851774,43248.529909341,1992,Gold
Canada,35851774,43248.529909341,1992,Gold
Canada,35851774,43248.529909341,1992,Gold
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Silver
Canada,35851774,43248.529909341,1992,Gold
Canada,35851774,43248.529909341,1994,Gold
Canada,35851774,43248.529909341,1994,Gold
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Bronze
Canada,35851774,43248.529909341,1994,Bronze
Canada,35851774,43248.529909341,1994,Bronze
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Bronze
Canada,35851774,43248.529909341,1994,Bronze
Canada,35851774,43248.529909341,1994,Silver
Canada,35851774,43248.529909341,1994,Gold
Canada,35851774,43248.529909341,1998,Gold
Canada,35851774,43248.529909341,1998,Gold
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Gold
Canada,35851774,43248.529909341,1998,Gold
Canada,35851774,43248.529909341,1998,Gold
Canada,35851774,43248.529909341,1998,Gold
Canada,35851774,43248.529909341,1998,Gold
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Silver
Canada,35851774,43248.529909341,1998,Bronze
Canada,35851774,43248.529909341,1998,Bronze
Canada,35851774,43248.529909341,1998,Bronze
Canada,35851774,43248.529909341,1998,Bronze
Canada,35851774,43248.529909341,1998,Bronze
