Country,Code,Population,GDP_per_Capita,Year,City,Sport,Discipline,Athlete,Gender,Event,Medal
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Basketball,Basketball,"HERRMANN, Walter",Men,Basketball,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Basketball,Basketball,"MONTECCHIA, Alejandro Ariel",Men,Basketball,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Basketball,Basketball,"NOCIONI, Andres Marcelo",Men,Basketball,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Basketball,Basketball,"OBERTO, Fabricio",Men,Basketball,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Basketball,Basketball,"SANCHEZ, Juan Ignacio",Men,Basketball,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Basketball,Basketball,"SCOLA, Luis Alberto",Men,Basketball,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Basketball,Basketball,"SCONOCHINI, Hugo Ariel",Men,Basketball,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Basketball,Basketball,"WOLKOWYSKI, Ruben",Men,Basketball,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"AYALA, Roberto",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"BURDISSO, Nicolas",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"COLOCCINI, Fabricio",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"D ALESSANDRO, Andres",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"DELGADO, Cesar",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"GONZALEZ, Cristian",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"GONZALEZ, Luis",Men,Football,Gold
Argentina,ARG,43416755,13431.8783398577,2004,Athens,Football,Football,"HEINZE, Gabriel",Men,Football,Gold
