Country,Code,Population,GDP_per_Capita,Year,City,Sport,Discipline,Athlete,Gender,Event,Medal
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Alpine Skiing,"EBERHARTER, Stephan",Men,Giant Slalom,Silver
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Alpine Skiing,"MEISSNITZER, Alexandra",Women,Giant Slalom,Silver
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Alpine Skiing,"SYKORA, Thomas",Men,Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Alpine Skiing,"MAIER, Hermann",Men,Super-G,Gold
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Alpine Skiing,"KNAUSS, Hans",Men,Super-G,Silver
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Alpine Skiing,"MEISSNITZER, Alexandra",Women,Super-G,Bronze
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Alpine Skiing,"DORFMEISTER, Michaela",Women,Super-G,Silver
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Cross Country Skiing,"GANDLER, Markus",Men,10KM Pursuit,Silver
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Cross Country Skiing,"HOFFMANN, Christian",Men,50KM,Bronze
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Ski Jumping,"HOELLWARTH, Martin",Men,K120 Team (90M),Bronze
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Ski Jumping,"HORNGACHER, Stefan",Men,K120 Team (90M),Bronze
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Ski Jumping,"SCHWARZENBERGER, Reinhard",Men,K120 Team (90M),Bronze
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Ski Jumping,"WIDHOELZL, Andreas",Men,K120 Team (90M),Bronze
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Ski Jumping,"WIDHOELZL, Andreas",Men,K90 Individual (70M),Bronze
Austria,AUT,8611088,43774.985173612,1998,Nagano,Skiing,Snowboard,"KOECK, Brigitte",Women,Giant-Slalom,Bronze
Austria,AUT,8611088,43774.985173612,2002,Salt Lake City,Biathlon,Biathlon,"PERNER, Wolfgang",Men,10KM,Bronze
Austria,AUT,8611088,43774.985173612,2002,Salt Lake City,Bobsleigh,Skeleton,"RETTL, Martin",Men,Individual,Silver
Austria,AUT,8611088,43774.985173612,2002,Salt Lake City,Luge,Luge,"PROCK, Markus",Men,Singles,Bronze
Austria,AUT,8611088,43774.985173612,2002,Salt Lake City,Skiing,Alpine Skiing,"RAICH, Benjamin",Men,Alpine Combined,Bronze
Austria,AUT,8611088,43774.985173612,2002,Salt Lake City,Skiing,Alpine Skiing,"GOETSCHL, Renate",Women,Alpine Combined,Silver
Austria,AUT,8611088,43774.985173612,2002,Salt Lake City,Skiing,Alpine Skiing,"EBERHARTER, Stephan",Men,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,2002,Salt Lake City,Skiing,Alpine Skiing,"STROBL, Fritz",Men,Downhill,Gold
Austria,AUT,8611088,43774.985173612,2002,Salt Lake City,Skiing,Alpine Skiing,"GOETSCHL, Renate",Women,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,2002,Salt Lake City,Skiing,Alpine Skiing,"EBERHARTER, Stephan",Men,Giant Slalom,Gold
Austria,AUT,8611088,43774.985173612,2002,Salt Lake City,Skiing,Alpine Skiing,"RAICH, Benjamin",Men,Slalom,Bronze
Austria,AUT,8611088,43774.985173612,2002,Salt Lake City,Skiing,Alpine Skiing,"SCHIFFERER, Andreas",Men,Super-G,Bronze
Austria,AUT,8611088,43774.985173612,2002,Salt Lake City,Skiing,Alpine Skiing,"EBERHARTER, Stephan",Men,Super-G,Silver
